"course_name","number_of_credits","course_code","main_field_of_study","program_title"
"Advanced Computer Architecture",10,"1DT024","Computer Science A1N, Embedded Systems A1N, Technology A1N","Master's Programme in Computer Science"
"Advanced Computer Architecture",10,"1DT024","Computer Science A1N, Embedded Systems A1N, Technology A1N","Master's Programme in Computer and Information Engineering"
"Advanced Computer Architecture",10,"1DT024","Computer Science A1N, Embedded Systems A1N, Technology A1N","Master's Programme in Embedded Systems"
"Advanced Computer Science Studies in Sweden",5,"1DT032","Computer Science A1N","Master's Programme in Computer Science"
"Advanced Course on Topics in Applied Physics",5,"1FA466","Physics A1F, Technology A1F","Master's Programme in Engineering Physics"
"Advanced Course on Topics in Embedded Systems",5,"1DT100","Computer Science A1F, Embedded Systems A1F, Technology A1F","Master's Programme in Embedded Systems"
"Advanced Course on Topics in Embedded Systems",10,"1DT101","Computer Science A1F, Embedded Systems A1F, Technology A1F","Master's Programme in Embedded Systems"
"Advanced Course on Topics in Materials Engineering",5,"1TM137","Materials Engineering A1N","Master's Programme in Materials Engineering"
"Advanced Course on Topics in Scientific Computing I",5,"1TD322","Computational Science A1F, Computer Science A1F","Master's Programme in Computational Science"
"Advanced Course on Topics in Scientific Computing I",5,"1TD322","Computational Science A1F, Computer Science A1F","Master's Programme in Engineering Physics"
"Advanced Course on Topics in Scientific Computing II",10,"1TD326","Computational Science A1F, Computer Science A1F","Master's Programme in Computational Science"
"Advanced Deep Learning for Image Processing",5,"1MD042","Computer Science A1F, Image Analysis and Machine Learning A1F","Master's Programme in Engineering Physics"
"Advanced Deep Learning for Image Processing",5,"1MD042","Computer Science A1F, Image Analysis and Machine Learning A1F","Master's Programme in Image Analysis and Machine Learning"
"Advanced Electrochemistry",10,"1KB271","Chemistry A1N","Master's Programme in Chemical Engineering"
"Advanced Electrochemistry",10,"1KB271","Chemistry A1N","Master's Programme in Chemistry – Physical Chemistry"
"Advanced Electrochemistry",10,"1KB271","Chemistry A1N","Master's Programme in Chemistry – Chemistry for Renewable Energy"
"Advanced Functional Programming",5,"1DL450","Computer Science A1F","Master's Programme in Computer Science"
"Advanced Image Analysis",5,"1MD037","Image Analysis and Machine Learning A1F","Master's Programme in Image Analysis and Machine Learning"
"Advanced Interaction Design",5,"1MD001","Computer Science A1N, Human-Computer Interaction A1N, Technology A1N","Bachelor's Programme in Computer Science"
"Advanced Interaction Design",5,"1MD001","Computer Science A1N, Human-Computer Interaction A1N, Technology A1N","Master's Programme in Computer Science"
"Advanced Interaction Design",5,"1MD001","Computer Science A1N, Human-Computer Interaction A1N, Technology A1N","Master's Programme in Computer and Information Engineering"
"Advanced Mass Spectrometry",15,"1KB159","Chemistry A1F","Master's Programme in Analytical Chemistry – EACH"
"Advanced Mass Spectrometry",15,"1KB159","Chemistry A1F","Master's Programme in Chemistry – Analytical Chemistry"
"Advanced Materials Analysis",5,"1TE074","Chemistry A1F, Materials Engineering A1F, Physics A1F, Technology A1F","Master's Programme in Chemical Engineering"
"Advanced Materials Analysis",5,"1TE074","Chemistry A1F, Materials Engineering A1F, Physics A1F, Technology A1F","Integrated Master's Programme in Materials Engineering"
"Advanced Materials Synthesis",5,"1KB265","Chemistry A1F, Technology A1F","Master's Programme in Chemical Engineering"
"Advanced Nuclear Physics with Modern Data Analysis",10,"1FA010","Physics A1F","Master's Programme in Physics – Energy Physics"
"Advanced Nuclear Physics with Modern Data Analysis",10,"1FA010","Physics A1F","Master's Programme in Physics – Nuclear and Particle Physics"
"Advanced Numerical Methods",10,"1TD050","Computational Science A1F, Computer Science A1F, Technology A1F","Master's Programme in Computational Science"
"Advanced Numerical Methods",10,"1TD050","Computational Science A1F, Computer Science A1F, Technology A1F","Master's Programme in Engineering Physics"
"Advanced Particle Physics",10,"1FA355","Physics A1F","Master's Programme in Physics – Nuclear and Particle Physics"
"Advanced Particle Physics",10,"1FA355","Physics A1F","Master's Programme in Physics – Astronomy and Space Physics"
"Advanced Physics - Project Course",5,"1FA566","Physics A1N","Master's Programme in Physics – Energy Physics"
"Advanced Physics - Project Course",10,"1FA565","Physics A1N","Master's Programme in Physics – Energy Physics"
"Advanced Physics - Project Course",5,"1FA566","Physics A1N","Master's Programme in Physics – Nuclear and Particle Physics"
"Advanced Physics - Project Course",10,"1FA565","Physics A1N","Master's Programme in Physics – Nuclear and Particle Physics"
"Advanced Physics - Project Course",5,"1FA566","Physics A1N","Master's Programme in Physics – Theoretical Physics: Quantum Fields and Strings"
"Advanced Physics - Project Course",10,"1FA565","Physics A1N","Master's Programme in Physics – Theoretical Physics: Quantum Fields and Strings"
"Advanced Physics - Project Course",5,"1FA566","Physics A1N","Master's Programme in Physics – Astronomy and Space Physics"
"Advanced Physics - Project Course",10,"1FA565","Physics A1N","Master's Programme in Physics – Astronomy and Space Physics"
"Advanced Probabilistic Machine Learning",5,"1RT705","Computer Science A1F, Mathematics A1F, Technology A1F","Master's Programme in Computer Science"
"Advanced Probabilistic Machine Learning",5,"1RT705","Computer Science A1F, Mathematics A1F, Technology A1F","Master's Programme in Data Science – Machine Learning and Statistics"
"Advanced Probabilistic Machine Learning",5,"1RT705","Computer Science A1F, Mathematics A1F, Technology A1F","Master's Programme in Engineering Physics"
"Advanced Probabilistic Machine Learning",5,"1RT003","Computer Science A1F, Image Analysis and Machine Learning A1F, Mathematics A1F","Master's Programme in Image Analysis and Machine Learning"
"Advanced Probabilistic Machine Learning",5,"1RT705","Computer Science A1F, Mathematics A1F, Technology A1F","Master's Programme in Industrial Analytics"
"Advanced Probabilistic Machine Learning",5,"1RT705","Computer Science A1F, Mathematics A1F, Technology A1F","Master's Programme in Industrial Engineering and Management"
"Advanced Project Work in Energy Systems Engineering",15,"1FA394","Technology A1F","Master's Programme in Energy Systems Engineering"
"Advanced Project Work in Energy Systems Engineering",15,"TE0023 SLU","Technology A1F","Master's Programme in Energy Systems Engineering"
"Advanced Quantum Field Theory",5,"1FA166","Physics A1F","Master's Programme in Physics – Theoretical Physics: Quantum Fields and Strings"
"Advanced Simulation and Prescriptive Analytics",5,"1TS316","Computer Science A1F, Industrial Engineering and Management A1F, Technology A1F","Master's Programme in Industrial Analytics"
"Advanced Simulation and Prescriptive Analytics",5,"1TS316","Computer Science A1F, Industrial Engineering and Management A1F, Technology A1F","Master's Programme in Industrial Engineering and Management"
"Advanced Software Design",5,"1DL242","Computer Science A1F, Technology A1F","Master's Programme in Computer Science"
"Advanced Software Design",5,"1DL242","Computer Science A1F, Technology A1F","Master's Programme in Computer and Information Engineering"
"Advanced Solar Cell and Battery Technologies",5,"1KB349","Chemistry A1F, Materials Science A1F","Master's Programme in Chemistry – Chemistry for Renewable Energy"
"Advanced Solar Cell and Battery Technologies",5,"1KB349","Chemistry A1F, Materials Science A1F","Master's Programme in Materials Science"
"Advanced Solar Cell Design",5,"1TE724","Renewable Electricity Production A1F, Technology A1F","Master's Programme in Energy Systems Engineering"
"Advanced Solar Cell Design",5,"1TE724","Renewable Electricity Production A1F, Technology A1F","Master's Programme in Engineering Physics"
"Advanced Solar Cell Design",5,"1TE724","Renewable Electricity Production A1F, Technology A1F","Master's Programme in Physics – Energy Physics"
"Advanced Solar Cell Design",5,"1TE724","Renewable Electricity Production A1F, Technology A1F","Master's Programme in Renewable Electricity Production"
"Advanced Studies in Meteorology and Climate",5,"1TV036","Earth Science A1N, Physics A1N","Master's Programme in Environmental and Water Engineering"
"Advanced Workplace Training in Industrial Engineering and Management",5,"1TS355","Technology A1N","Master's Programme in Industrial Engineering and Management"
"Affine and Projective Geometry",5,"1MA194","Mathematics G1F","Bachelor's Programme in Mathematics"
"Air Quality and Applied Meteorology",15,"1TV028","Earth Science A1N, Physics A1N, Technology A1N","Master's Programme in Environmental and Water Engineering"
"Air Quality and Applied Meteorology",15,"1TV028","Earth Science A1N, Physics A1N, Technology A1N","Master's Programme in Physics – Meteorology and Climate Physics"
"Algebra and Geometry",5,"1MA090","Mathematics G1N","Master's Programme in Electrical Engineering"
"Algebra and Geometry",5,"1MA090","Mathematics G1N","Master's Programme in Energy Systems Engineering"
"Algebra and Geometry",5,"1MA090","Mathematics G1N","Master's Programme in Engineering Physics"
"Algebra and Geometry",5,"1MA090","Mathematics G1N","Master's Programme in Environmental and Water Engineering"
"Algebra and Geometry",5,"1MA090","Mathematics G1N","Integrated Master's Programme in Materials Engineering"
"Algebra and Geometry",5,"1MA090","Mathematics G1N","Master's Programme in Molecular Biotechnology Engineering"
"Algebra and Vector Geometry",5,"1MA008","Mathematics G1N","Bachelor's Programme in Biomedical Engineering"
"Algebra and Vector Geometry",5,"1MA008","Mathematics G1N","Bachelor's Programme in Construction Engineering"
"Algebra and Vector Geometry",5,"1MA008","Mathematics G1N","Bachelor's Programme in Electrical Engineering"
"Algebra and Vector Geometry",5,"1MA008","Mathematics G1N","Bachelor's Programme in Leadership – Quality Management – Improvement"
"Algebra and Vector Geometry",5,"1MA008","Mathematics G1N","Bachelor's Programme in Mechanical Engineering"
"Algebra and Vector Geometry",5,"1MA008","Mathematics G1N","Bachelor's Programme in Sustainable Development in Industrial Engineering"
"Algebra I",5,"1MA004","Mathematics G1F","Bachelor's Programme in Computer Science"
"Algebra I",5,"1MA004","Mathematics G1F","Bachelor's Programme in Mathematics"
"Algebra I",5,"1MA004","Mathematics G1F","Master's Programme in Computer and Information Engineering"
"Algebra II",5,"1MA006","Mathematics G1F","Bachelor's Programme in Computer Science"
"Algebra II",5,"1MA006","Mathematics G1F","Bachelor's Programme in Mathematics"
"Algebraic Structures",10,"1MA007","Mathematics G2F","Bachelor's Programme in Mathematics"
"Algebraic Topology",10,"1MA336","Mathematics A1F","Master's Programme in Mathematics – Mathematics"
"Algorithms and Data Structures I",5,"1DL210","Computer Science G1F, Technology G1F","Bachelor's Programme in Mathematics"
"Algorithms and Data Structures I",5,"1DL210","Computer Science G1F, Technology G1F","Master's Programme in Bioinformatics – Biology Background"
"Algorithms and Data Structures I",5,"1DL210","Computer Science G1F, Technology G1F","Master's Programme in Bioinformatics – Computer Science Background"
"Algorithms and Data Structures I",5,"1DL210","Computer Science G1F, Technology G1F","Master's Programme in Embedded Systems"
"Algorithms and Data Structures I",5,"1DL210","Computer Science G1F, Technology G1F","Master's Programme in Image Analysis and Machine Learning"
"Algorithms and Data Structures I",5,"1DL210","Computer Science G1F, Technology G1F","Master's Programme in Industrial Engineering and Management"
"Algorithms and Data Structures I",5,"1DL210","Computer Science G1F, Technology G1F","Master's Programme in Molecular Biotechnology Engineering"
"Algorithms and Data Structures I",5,"1DL210","Computer Science G1F, Technology G1F","Master's Programme in Sociotechnical Systems Engineering"
"Algorithms and Data Structures II",5,"1DL231","Computer Science G2F","Bachelor's Programme in Computer Science"
"Algorithms and Data Structures II",5,"1DL231","Computer Science G2F","Master's Programme in Bioinformatics – Biology Background"
"Algorithms and Data Structures II",5,"1DL231","Computer Science G2F","Master's Programme in Bioinformatics – Computer Science Background"
"Algorithms and Data Structures II",5,"1DL231","Computer Science G2F","Master's Programme in Computer Science"
"Algorithms and Data Structures II",5,"1DL231","Computer Science G2F","Master's Programme in Computer and Information Engineering"
"Algorithms and Data Structures II",5,"1DL231","Computer Science G2F","Master's Programme in Image Analysis and Machine Learning"
"Algorithms and Data Structures II",5,"1DL231","Computer Science G2F","Master's Programme in Molecular Biotechnology Engineering"
"Algorithms and Data Structures III",5,"1DL481","Computer Science A1N","Bachelor's Programme in Computer Science"
"Algorithms and Data Structures III",5,"1DL481","Computer Science A1N","Master's Programme in Computer Science"
"All-Electric Powertrains",5,"1EL104","Technology G2F","Bachelor's Programme in Electrical Engineering"
"Analogue Electronics",10,"1TE770","Technology G1F","Bachelor's Programme in Electrical Engineering"
"Analogue Electronics",10,"1TE770","Technology G1F","Master's Programme in Electrical Engineering"
"Analysis and Development of Logistics Systems",15,"1TG311","Technology G2F","Bachelor's Programme in Sustainable Development in Industrial Engineering"
"Analysis of Categorical Data",5,"1MS370","Mathematics A1N","Bachelor's Programme in Mathematics"
"Analysis of Categorical Data",5,"1MS370","Mathematics A1N","Master's Programme in Mathematics – Applied Mathematics and Statistics"
"Analysis of Electric Power Systems",10,"1TE754","Renewable Electricity Production A1N, Technology A1N","Master's Programme in Renewable Electricity Production"
"Analysis of Electric Power Systems",10,"1TE754","Renewable Electricity Production A1N, Technology A1N","Master's Programme in Sociotechnical Systems Engineering"
"Analysis of Power Distribution Grids",5,"1TE726","Renewable Electricity Production A1N, Technology A1N","Master's Programme in Electrical Engineering"
"Analysis of Power Distribution Grids",5,"1TE726","Renewable Electricity Production A1N, Technology A1N","Master's Programme in Renewable Electricity Production"
"Analysis of Power Distribution Grids",5,"1TE726","Renewable Electricity Production A1N, Technology A1N","Master's Programme in Sociotechnical Systems Engineering"
"Analysis of Time Series",10,"1MS014","Financial Mathematics A1N, Mathematics A1N","Bachelor's Programme in Mathematics"
"Analysis of Time Series",10,"1MS014","Financial Mathematics A1N, Mathematics A1N","Master's Programme in Computational Science"
"Analysis of Time Series",10,"1MS014","Financial Mathematics A1N, Mathematics A1N","Master's Programme in Data Science – Machine Learning and Statistics"
"Analysis of Time Series",10,"1MS014","Financial Mathematics A1N, Mathematics A1N","Master's Programme in Mathematics – Financial Mathematics"
"Analysis of Time Series",10,"1MS014","Financial Mathematics A1N, Mathematics A1N","Master's Programme in Mathematics – Applied Mathematics and Statistics"
"Analytic Functions",10,"1MA531","Mathematics A1N","Master's Programme in Mathematics – Mathematics"
"Analytic Number Theory",10,"1MA038","Mathematics A1N","Master's Programme in Mathematics – Mathematics"
"Analytical Chemistry I",10,"1KB105","Chemistry G1F","Bachelor's Programme in Biology/Molecular Biology – Biology/Molecular Biology"
"Analytical Chemistry I",10,"1KB105","Chemistry G1F","Bachelor's Programme in Chemistry"
"Analytical Chemistry II",15,"1KB101","Chemistry G2F","Bachelor's Programme in Chemistry"
"Analytical Chemistry in Drug Discovery",15,"3FK214","Chemistry A1F, Pharmaceutical Sciences A1F, Technology A1F","Master's Programme in Chemical Engineering"
"Analytical Chemistry with Data Analysis and Chemometrics",10,"1KB103","Chemistry G1F, Technology G1F","Master's Programme in Chemical Engineering"
"Analytical Mechanics",5,"1FA163","Physics A1N","Bachelor's Programme in Physics – Astronomy"
"Analytical Mechanics",5,"1FA163","Physics A1N","Bachelor's Programme in Physics – Physics"
"Analytical Mechanics",5,"1FA163","Physics A1N","Bachelor's Programme in Physics – Geophysics"
"Analytical Mechanics",5,"1FA163","Physics A1N","Master's Programme in Physics – Nuclear and Particle Physics"
"Analytical Mechanics",5,"1FA163","Physics A1N","Master's Programme in Physics – Theoretical Physics: Quantum Fields and Strings"
"Analytical Methods in Earth Science",10,"1GV015","Earth Science A1F","Master's Programme in Earth Science – Geology"
"Analytical Methods in Earth Science",10,"1GV015","Earth Science A1F","Master's Programme in Earth Science – Palaeobiology"
"Anatomy and Physiology",15,"3MC126","Medical Science G1N","Bachelor's Programme in Biomedical Engineering"
"Animal Structure and Function",15,"1BG203","Biology G2F","Bachelor's Programme in Biology/Molecular Biology – Biology/Molecular Biology"
"Applications of Geodynamics",5,"1GE052","Earth Science A1F, Physics A1F","Master's Programme in Physics – Geophysics"
"Applications of Wireless Embedded Systems",5,"1TE749","Technology A1F","Master's Programme in Engineering Physics"
"Applied",5,"1MP029","Earth Science A1F, Sustainable Development A1N","Master's Programme in Earth Science – Geology"
"Applied",5,"1MP029","Earth Science A1F, Sustainable Development A1N","Master's Programme in Earth Science – Hydrology/Hydrogeology"
"Applied",5,"1MP029","Earth Science A1F, Sustainable Development A1N","Master's Programme in Physics – Geophysics"
"Applied",5,"1MP029","Earth Science A1F, Sustainable Development A1N","Master's Programme in Sustainable and Innovative Natural Resource Management – SINReM"
"Applied Analogue Electronics",5,"1TM012","Technology A1N","Master's Programme in Engineering Physics"
"Applied Analysis of Complex Samples",15,"1KB154","Chemistry A1F","Master's Programme in Analytical Chemistry – EACH"
"Applied Analysis of Complex Samples",15,"1KB154","Chemistry A1F","Master's Programme in Chemistry – Analytical Chemistry"
"Applied and Environmental Geophysics",10,"1GE017","Earth Science G2F, Physics G2F","Bachelor's Programme in Physics – Geophysics"
"Applied and Environmental Geophysics",10,"1GE017","Earth Science G2F, Physics G2F","Master's Programme in Physics – Geophysics"
"Applied Bioinformatics",15,"1MB519","Bioinformatics A1F, Technology A1F","Master's Programme in Bioinformatics – Biology Background"
"Applied Bioinformatics",15,"1MB519","Bioinformatics A1F, Technology A1F","Master's Programme in Bioinformatics – Computer Science Background"
"Applied Bioinformatics",15,"1MB519","Bioinformatics A1F, Technology A1F","Master's Programme in Molecular Biotechnology Engineering"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Bachelor's Programme in Physics – Physics"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Master's Programme in Engineering Physics"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Master's Programme in Physics – Geophysics"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Master's Programme in Physics – Meteorology and Climate Physics"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Master's Programme in Physics – Meteorology"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Master's Programme in Physics – Energy Physics"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Master's Programme in Physics – Nuclear and Particle Physics"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Master's Programme in Physics – Theoretical Physics: Quantum Fields and Strings"
"Applied Deep Learning in Physics and Engineering",5,"1FA370","Physics A1N, Technology A1N","Master's Programme in Physics – Astronomy and Space Physics"
"Applied Ecosystem Ecology",15,"1BG305","Biology A1N","Bachelor's Programme in Biology/Molecular Biology – Biology/Molecular Biology"
"Applied Electrical Power Engineering",5,"1EL006","Technology G2F","Bachelor's Programme in Biomedical Engineering"
"Applied Electrochemistry",10,"1KB717","Chemistry A1F","Master's Programme in Battery Technology and Energy Storage"
"Applied Electrochemistry",10,"1KB717","Chemistry A1F","Master's Programme in Chemical Engineering"
"Applied Energy Storage with Project Management",10,"1KB726","Battery Technology A1F","Master's Programme in Battery Technology and Energy Storage"
"Applied Finite Element Methods",5,"1TD056","Computational Science A1F, Computer Science A1F, Technology A1F","Bachelor's Programme in Mathematics"
"Applied Finite Element Methods",5,"1TD056","Computational Science A1F, Computer Science A1F, Technology A1F","Master's Programme in Computational Science"
"Applied Finite Element Methods",5,"1TD056","Computational Science A1F, Computer Science A1F, Technology A1F","Master's Programme in Engineering Physics"
"Applied Finite Element Methods",5,"1TD056","Computational Science A1F, Computer Science A1F, Technology A1F","Master's Programme in Mathematics – Applied Mathematics and Statistics"
"Applied Finite Element Methods",5,"1TD056","Computational Science A1F, Computer Science A1F, Technology A1F","Master's Programme in Physics – Geophysics"
"Applied Fluid Mechanics",5,"1EL002","Physics G1F, Technology G1F","Master's Programme in Engineering Physics"
"Applied Geoinformatics for Earth Sciences",5,"1GE039","Earth Science A1N, Geography A1N","Master's Programme in Earth Science – Geology"
"Applied Geoinformatics for Earth Sciences",5,"1GE039","Earth Science A1N, Geography A1N","Master's Programme in Earth Science – Hydrology/Hydrogeology"
"Applied Geoinformatics for Earth Sciences",5,"1GE039","Earth Science A1N, Geography A1N","Master's Programme in Earth Science – Physical Geography"
"Applied Geoinformatics for Earth Sciences",5,"1GE039","Earth Science A1N, Geography A1N","Master's Programme in Earth Science – Palaeobiology"
"Applied Geoinformatics for Earth Sciences",5,"1GE039","Earth Science A1N, Geography A1N","Master's Programme in Physics – Geophysics"
"Applied Geophysics and Rock Physics",15,"1GE073","Earth Science A1N, Physics A1N","Master's Programme in Earth Science – Geology"
"Applied Geophysics and Rock Physics",15,"1GE073","Earth Science A1N, Physics A1N","Master's Programme in Earth Science – Hydrology/Hydrogeology"
"Applied Geophysics and Rock Physics",15,"1GE073","Earth Science A1N, Physics A1N","Master's Programme in Earth Science – Physical Geography"
"Applied Geophysics and Rock Physics",15,"1GE073","Earth Science A1N, Physics A1N","Master's Programme in Earth Science – Palaeobiology"
"Applied Geophysics and Rock Physics",15,"1GE073","Earth Science A1N, Physics A1N","Master's Programme in Sustainable and Innovative Natural Resource Management – SINReM"
"Applied Mathematics",5,"1MA148","Mathematics A1N","Bachelor's Programme in Mathematics"
"Applied Mathematics",5,"1MA148","Mathematics A1N","Master's Programme in Computational Science"
"Applied Mathematics",5,"1MA148","Mathematics A1N","Master's Programme in Embedded Systems"
"Applied Mathematics",5,"1MA148","Mathematics A1N","Master's Programme in Engineering Physics"
"Applied Mathematics",5,"1MA148","Mathematics A1N","Master's Programme in Mathematics – Applied Mathematics and Statistics"
"Applied Mathematics",5,"1MA148","Mathematics A1N","Master's Programme in Physics – Geophysics"
"Applied Mechanics I",5,"1TE760","Physics G1F, Technology G1F","Master's Programme in Engineering Physics"
"Applied Mechanics II",5,"1TM014","Physics G1F, Technology G1F","Master's Programme in Engineering Physics"
"Applied Molecular Biophysics",15,"1MB518","Biophysics A1F, Technology A1F","Master's Programme in Biophysics"
"Applied Molecular Biophysics",15,"1MB518","Biophysics A1F, Technology A1F","Master's Programme in Molecular Biotechnology Engineering"
"Applied Molecular Physics",5,"1FA656","Materials Science A1F, Physics A1F","Master's Programme in Materials Science"
"Applied Molecular Physics",5,"1FA656","Materials Science A1F, Physics A1F","Master's Programme in Quantum Technology"
"Applied Pharmaceutical and Biomedical Analysis",5,"3FK228","Drug Discovery and Development A1N, Pharmaceutical Sciences A1N","Master's Programme in Chemical Engineering"
"Applied Pharmaceutical Structural Bioinformatics",5,"3FF209","Pharmaceutical Sciences A1N","Master's Programme in Chemical Engineering"
"Applied Physics for Molecular Biotechnology",5,"1FA533","Physics G1F, Technology G1F","Master's Programme in Molecular Biotechnology Engineering"
"Applied Reactor Physics",5,"1FA452","Technology A1F","Master's Programme in Energy Systems Engineering"
"Applied Statistics",5,"1MS926","Mathematics G1F, Sociotechnical Systems G1F, Technology G1F","Bachelor's Programme in Chemistry"
"Applied Statistics",5,"1MS926","Mathematics G1F, Sociotechnical Systems G1F, Technology G1F","Master's Programme in Engineering Physics"
"Applied Statistics",5,"1MS926","Mathematics G1F, Sociotechnical Systems G1F, Technology G1F","Master's Programme in Sociotechnical Systems Engineering"
"Applied Systems Analysis",5,"1RT242","Sociotechnical Systems G2F, Technology G2F","Bachelor's Programme in Mathematics"
"Applied Systems Analysis",5,"1RT242","Sociotechnical Systems G2F, Technology G2F","Master's Programme in Environmental and Water Engineering"
"Aquatic Ecosystems and Ecosystem Services",5,"1MB940","Biology A1N","Master's Programme in Environmental and Water Engineering"
"Aquatic Environmental Analysis",5,"1TV021","Biology G1F, Earth Science G1F, Technology G1F","Master's Programme in Environmental and Water Engineering"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Bioinformatics – Biology Background"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Bioinformatics – Computer Science Background"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Computational Science"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Computer Science"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Computer and Information Engineering"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Data Science – Machine Learning and Statistics"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Data Science – Data Engineering"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Embedded Systems"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Engineering Physics"
"Artificial Intelligence",5,"1DL340","Computer Science A1N, Technology A1N","Master's Programme in Sociotechnical Systems Engineering"
